legacy_external_id,key,value
1308,eshop_registered,0
1395,eshop_registered,0
1105,eshop_registered,0
1295,eshop_registered,0
1221,eshop_registered,0
1351,eshop_registered,0
1263,eshop_registered,0
1186,eshop_registered,0
1310,eshop_registered,0
1410,eshop_registered,0
1106,eshop_registered,0
1297,eshop_registered,0
1222,eshop_registered,0
1374,eshop_registered,0
1274,eshop_registered,0
1201,eshop_registered,0
1323,eshop_registered,0
1425,eshop_registered,0
1193,eshop_registered,0
1303,eshop_registered,0
1226,eshop_registered,0
1377,eshop_registered,0
1281,eshop_registered,0
1203,eshop_registered,0
1325,eshop_registered,0
1426,eshop_registered,0
1225,eshop_registered,0
1305,eshop_registered,0
1256,eshop_registered,0
1382,eshop_registered,0
1287,eshop_registered,0
1229,eshop_registered,0
1340,eshop_registered,1
1439,eshop_registered,0
1236,eshop_registered,0
1328,eshop_registered,0
1280,eshop_registered,0
1399,eshop_registered,0
1298,eshop_registered,0
1230,eshop_registered,0
1342,eshop_registered,0
1442,eshop_registered,0
1237,eshop_registered,0
1330,eshop_registered,0
1282,eshop_registered,0
1423,eshop_registered,0
1304,eshop_registered,0
1246,eshop_registered,0
1356,eshop_registered,0
1474,eshop_registered,0
1253,eshop_registered,0
1239,eshop_registered,0
1290,eshop_registered,0
1429,eshop_registered,0
1048,eshop_registered,0
1258,eshop_registered,0
1358,eshop_registered,0
1521,eshop_registered,0
1254,eshop_registered,0
1241,eshop_registered,0
1312,eshop_registered,0
1435,eshop_registered,0
1059,eshop_registered,0
1260,eshop_registered,0
1371,eshop_registered,0
1522,eshop_registered,0
1267,eshop_registered,0
1339,eshop_registered,0
1314,eshop_registered,0
1446,eshop_registered,0
1174,eshop_registered,0
1262,eshop_registered,0
1373,eshop_registered,0
1535,eshop_registered,0
1284,eshop_registered,0
1361,eshop_registered,0
1383,eshop_registered,0
1453,eshop_registered,0
1329,eshop_registered,0
1275,eshop_registered,1
1401,eshop_registered,0
1609,eshop_registered,0
1211,eshop_registered,0
1396,eshop_registered,0
1405,eshop_registered,0
1460,eshop_registered,0
1336,eshop_registered,0
1291,eshop_registered,0
1416,eshop_registered,0
1622,eshop_registered,0
1318,eshop_registered,0
1398,eshop_registered,0
1407,eshop_registered,0
1471,eshop_registered,0
1346,eshop_registered,0
1307,eshop_registered,0
1418,eshop_registered,0
1624,eshop_registered,0
1332,eshop_registered,0
1421,eshop_registered,0
1412,eshop_registered,0
1477,eshop_registered,0
1360,eshop_registered,0
1309,eshop_registered,0
1431,eshop_registered,0
1637,eshop_registered,0
1333,eshop_registered,0
1428,eshop_registered,0
1414,eshop_registered,0
1483,eshop_registered,0
1369,eshop_registered,0
1324,eshop_registered,0
1433,eshop_registered,0
1638,eshop_registered,0
1301,eshop_registered,0
1430,eshop_registered,0
1434,eshop_registered,0
1518,eshop_registered,0
1391,eshop_registered,0
1341,eshop_registered,0
1447,eshop_registered,0
1654,eshop_registered,0
1364,eshop_registered,0
1452,eshop_registered,0
1436,eshop_registered,0
1525,eshop_registered,0
1415,eshop_registered,0
1370,eshop_registered,0
1449,eshop_registered,0
1669,eshop_registered,0
1378,eshop_registered,0
1493,eshop_registered,0
1321,eshop_registered,0
1539,eshop_registered,0
1451,eshop_registered,0
1417,eshop_registered,0
1464,eshop_registered,0
1562,eshop_registered,0
1394,eshop_registered,0
1516,eshop_registered,0
1345,eshop_registered,0
1559,eshop_registered,0
1469,eshop_registered,0
1419,eshop_registered,0
1466,eshop_registered,0
